20 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.9375
40 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 0.96875
60 step,  mlm : 0.00, nsp : 0.23 nsp_acc : 0.90625
80 step,  mlm : 0.00, nsp : 0.39 nsp_acc : 0.84375
100 step,  mlm : 0.00, nsp : 0.06 nsp_acc : 1.0
120 step,  mlm : 0.00, nsp : 0.17 nsp_acc : 0.9375
140 step,  mlm : 0.00, nsp : 0.19 nsp_acc : 0.96875
160 step,  mlm : 0.00, nsp : 0.27 nsp_acc : 0.84375
180 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.96875
200 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.96875
220 step,  mlm : 0.00, nsp : 0.50 nsp_acc : 0.84375
240 step,  mlm : 0.00, nsp : 0.17 nsp_acc : 0.90625
260 step,  mlm : 0.00, nsp : 0.20 nsp_acc : 0.90625
280 step,  mlm : 0.00, nsp : 0.28 nsp_acc : 0.875
320 step,  mlm : 0.00, nsp : 0.22 nsp_acc : 0.90625
340 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.9375
360 step,  mlm : 0.00, nsp : 0.03 nsp_acc : 1.0
380 step,  mlm : 0.00, nsp : 0.23 nsp_acc : 0.9375
400 step,  mlm : 0.00, nsp : 0.17 nsp_acc : 0.9375
420 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.96875
440 step,  mlm : 0.00, nsp : 0.07 nsp_acc : 1.0
460 step,  mlm : 0.00, nsp : 0.11 nsp_acc : 0.9375
480 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
500 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
520 step,  mlm : 0.00, nsp : 0.28 nsp_acc : 0.875
540 step,  mlm : 0.00, nsp : 0.22 nsp_acc : 0.90625
560 step,  mlm : 0.00, nsp : 0.26 nsp_acc : 0.875
580 step,  mlm : 0.00, nsp : 0.03 nsp_acc : 1.0
600 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.90625
620 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
640 step,  mlm : 0.00, nsp : 0.15 nsp_acc : 0.96875
660 step,  mlm : 0.00, nsp : 0.07 nsp_acc : 1.0
680 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.90625
700 step,  mlm : 0.00, nsp : 0.16 nsp_acc : 0.96875
720 step,  mlm : 0.00, nsp : 0.18 nsp_acc : 0.90625
740 step,  mlm : 0.00, nsp : 0.12 nsp_acc : 0.9375
760 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.9375
780 step,  mlm : 0.00, nsp : 0.13 nsp_acc : 0.96875
800 step,  mlm : 0.00, nsp : 0.15 nsp_acc : 0.90625
820 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.9375
840 step,  mlm : 0.00, nsp : 0.15 nsp_acc : 0.9375
860 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.9375
880 step,  mlm : 0.00, nsp : 0.08 nsp_acc : 0.96875
900 step,  mlm : 0.00, nsp : 0.14 nsp_acc : 0.9375
920 step,  mlm : 0.00, nsp : 0.25 nsp_acc : 0.875
940 step,  mlm : 0.00, nsp : 0.07 nsp_acc : 0.96875
960 step,  mlm : 0.00, nsp : 0.10 nsp_acc : 0.96875
